title,author,year,rating,price,genre,pages
The Great Gatsby,F. Scott Fitzgerald,1925,4.5,12.99,Fiction,180
To Kill a Mockingbird,Harper Lee,1960,4.8,14.99,Fiction,324
1984,George Orwell,1949,4.7,13.99,Science Fiction,328
Pride and Prejudice,Jane Austen,1813,4.6,11.99,Romance,432
The Catcher in the Rye,J.D. Salinger,1951,4.3,13.99,Fiction,234
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,4.9,16.99,Fantasy,309
The Hobbit,J.R.R. Tolkien,1937,4.7,15.99,Fantasy,310
The Da Vinci Code,Dan Brown,2003,4.2,14.99,Mystery,689
The Alchemist,Paulo Coelho,1988,4.4,12.99,Fiction,208
Lord of the Rings,J.R.R. Tolkien,1954,4.9,24.99,Fantasy,1178
The Chronicles of Narnia,C.S. Lewis,1950,4.6,18.99,Fantasy,767
Gone with the Wind,Margaret Mitchell,1936,4.3,16.99,Historical Fiction,1037
The Hunger Games,Suzanne Collins,2008,4.5,13.99,Science Fiction,374
Twilight,Stephenie Meyer,2005,4.0,12.99,Fantasy,498
The Fault in Our Stars,John Green,2012,4.4,14.99,Young Adult,313
Divergent,Veronica Roth,2011,4.2,13.99,Science Fiction,487
The Giver,Lois Lowry,1993,4.3,11.99,Science Fiction,240
Animal Farm,George Orwell,1945,4.5,10.99,Fiction,112
Brave New World,Aldous Huxley,1932,4.4,12.99,Science Fiction,268
Fahrenheit 451,Ray Bradbury,1953,4.4,13.99,Science Fiction,249
The Book Thief,Markus Zusak,2005,4.7,15.99,Historical Fiction,584
The Kite Runner,Khaled Hosseini,2003,4.5,14.99,Fiction,371
Life of Pi,Yann Martel,2001,4.3,13.99,Adventure,460
The Help,Kathryn Stockett,2009,4.6,15.99,Historical Fiction,544
The Outsiders,S.E. Hinton,1967,4.5,11.99,Young Adult,192
Speak,Laurie Halse Anderson,1999,4.2,12.99,Young Adult,224
The Perks of Being a Wallflower,Stephen Chbosky,1999,4.4,13.99,Young Adult,213
Looking for Alaska,John Green,2005,4.3,12.99,Young Adult,221
Eleanor & Park,Rainbow Rowell,2013,4.2,14.99,Young Adult,328
The Princess Bride,William Goldman,1973,4.6,13.99,Fantasy,493
